serial_number,fold,true_biotreat,predicted_biotreat,confidence,served_population,population_bucket,N2O_true_EF,N2O_pred_EF_mean,N2O_pred_EF_p2.5,N2O_pred_EF_p97.5,CH4_true_EF,CH4_pred_EF_mean,CH4_pred_EF_p2.5,CH4_pred_EF_p97.5
6163,1,BNR,BNR,0.4143070797789842,1821250.0,large: 10000+,0.6015299626676763,0.5434796810150146,0.07591904699802399,1.553381323814392,0.017852082981753833,0.026473525911569595,0.008802625350654125,0.05465983226895332
6172,1,Lagoon,Lagoon,0.4883164474964142,23500.0,large: 10000+,0.06996540113766683,0.31832748651504517,0.06314915418624878,0.9286344647407532,0.102,0.0619640089571476,0.026700563728809357,0.10220136493444443
6201,1,EA,Lagoon,0.5475344247668982,12500.0,large: 10000+,0.8070073797106073,0.3555922210216522,0.05581806227564812,0.9454233646392822,0.021608997891512972,0.0688052698969841,0.03233308717608452,0.1111028864979744
6369,1,Lagoon,Lagoon,0.7600637404620647,22500.0,large: 10000+,0.06996540113766683,0.20544065535068512,0.04110660403966904,0.49908962845802307,0.102,0.08439607918262482,0.03844957798719406,0.133074551820755
6371,1,BNR,BNR,0.4264383994862437,142500.0,large: 10000+,0.6015299626676763,0.5095022320747375,0.06807214021682739,1.4483890533447266,0.017852082981753833,0.02886386401951313,0.0109729478135705,0.05649174004793167
6452,1,CAS,CAS,0.3959642639160156,60835.0,large: 10000+,0.46002504380856235,0.49010321497917175,0.10538877546787262,1.2634607553482056,0.021608997891512972,0.031548094004392624,0.013903417624533176,0.05591054633259773
6724,1,Lagoon,Lagoon,0.6161447923630476,10330.0,large: 10000+,0.06996540113766683,0.3221859931945801,0.07243996858596802,0.7898897528648376,0.102,0.07274078577756882,0.03543241694569588,0.11428364366292953
6732,1,CAS,Lagoon,0.4204984675049781,31545.0,large: 10000+,0.46002504380856235,0.3409160375595093,0.06413266807794571,1.1178719997406006,0.021608997891512972,0.05586351454257965,0.022885041311383247,0.09746994823217392
6782,1,Lagoon,Lagoon,0.6650140439122916,24220.0,large: 10000+,0.06996540113766683,0.2530061900615692,0.05519339069724083,0.6482731103897095,0.102,0.07577455788850784,0.03544694185256958,0.12082181125879288
6792,1,Lagoon,Lagoon,0.8628671963214875,16715.0,large: 10000+,0.06996540113766683,0.14100641012191772,0.028317775577306747,0.30070674419403076,0.102,0.09187058359384537,0.04044579714536667,0.14379748702049255
